time,value
2019-03-15 00:42:40,0.0
2019-03-15 00:42:50,0.0
2019-03-15 00:43:00,0.0
2019-03-15 00:43:10,0.0
2019-03-15 00:43:20,6
2019-03-15 00:43:30,6
2019-03-15 00:43:40,0.0
2019-03-15 00:43:50,0.0
2019-03-15 00:44:00,6
2019-03-15 00:44:10,0.0
2019-03-15 00:44:20,0.0
2019-03-15 00:44:30,0.0
2019-03-15 00:44:40,6
2019-03-15 00:44:50,6
2019-03-15 00:45:00,0.0
2019-03-15 00:45:10,0.0
2019-03-15 00:45:20,0.0
2019-03-15 00:45:30,0.0
2019-03-15 00:45:40,0.0
2019-03-15 00:45:50,0.0
2019-03-15 00:46:00,0.0
2019-03-15 00:46:10,0.0
2019-03-15 00:46:20,0.0
2019-03-15 00:46:30,0.0
2019-03-15 00:46:40,0.0
2019-03-15 00:46:50,0.0
2019-03-15 00:47:00,0.0
2019-03-15 00:47:10,0.0
2019-03-15 00:47:20,0.0
2019-03-15 00:47:30,0.0
2019-03-15 00:47:40,0.0
2019-03-15 00:47:50,0.0
2019-03-15 00:48:00,0.0
2019-03-15 00:48:10,0.0
2019-03-15 00:48:20,0.0
2019-03-15 00:48:30,0.0
2019-03-15 00:48:40,0.0
2019-03-15 00:48:50,0.0
2019-03-15 00:49:00,0.0
2019-03-15 00:49:10,0.0
2019-03-15 00:49:20,0.0
2019-03-15 00:49:30,0.0
2019-03-15 00:49:40,0.0
2019-03-15 00:49:50,0.0
2019-03-15 00:50:00,0.0
2019-03-15 00:50:10,0.0
2019-03-15 00:50:20,0.0
2019-03-15 00:50:30,0.0
2019-03-15 00:50:40,0.0
2019-03-15 00:50:50,6
2019-03-15 00:51:00,5
2019-03-15 00:51:10,6
2019-03-15 00:51:20,5
2019-03-15 00:51:30,6
2019-03-15 00:51:40,6
2019-03-15 00:51:50,6
2019-03-15 00:52:00,5
